Tiempo_s,Corriente_A,SoC,Voltaje_V,Temperatura_C,Potencia_W,C_rate,Calor_Generado_W,Energia_Wh
185,15.0,0.25416666666666565,3.529999999999999,30.224005315355335,52.94999999999998,3.0,3.375,2.6501249999999996
186,15.0,0.254999999999999,3.530999999999999,30.24304498232991,52.96499999999998,3.0,3.375,2.6648374999999995
187,15.0,0.25583333333333236,3.5319999999999987,30.262008747017646,52.97999999999998,3.0,3.375,2.6795541666666662
188,15.0,0.2566666666666657,3.532999999999999,30.280896912005616,52.99499999999998,3.0,3.375,2.6942749999999998
189,15.0,0.25749999999999906,3.533999999999999,30.29970977867462,53.009999999999984,3.0,3.375,2.7089999999999996
190,15.0,0.2583333333333324,3.534999999999999,30.318447647204003,53.024999999999984,3.0,3.375,2.7237291666666663
191,15.0,0.25916666666666577,3.535999999999999,30.33711081657642,53.039999999999985,3.0,3.375,2.7384625
192,15.0,0.2599999999999991,3.536999999999999,30.355699584582627,53.054999999999986,3.0,3.375,2.7531999999999996
193,15.0,0.2608333333333325,3.537999999999999,30.37421424782623,53.069999999999986,3.0,3.375,2.7679416666666663
194,15.0,0.2616666666666658,3.5389999999999993,30.392655101728412,53.08499999999999,3.0,3.375,2.7826874999999998
195,15.0,0.2624999999999992,3.539999999999999,30.411022440532648,53.09999999999999,3.0,3.375,2.7974374999999996
196,15.0,0.26333333333333253,3.540999999999999,30.429316557309406,53.11499999999999,3.0,3.375,2.812191666666666
197,15.0,0.2641666666666659,3.5419999999999994,30.44753774396081,53.12999999999999,3.0,3.375,2.8269499999999996
198,15.0,0.26499999999999924,3.5429999999999993,30.46568629122532,53.14499999999999,3.0,3.375,2.8417124999999994
199,15.0,0.2658333333333326,3.543999999999999,30.48376248868234,53.15999999999999,3.0,3.375,2.856479166666666
200,15.0,0.26666666666666594,3.544999999999999,30.501766624756872,53.17499999999998,3.0,3.375,2.8712499999999994
201,15.0,0.2674999999999993,3.5459999999999994,30.519698986724087,53.18999999999999,3.0,3.375,2.8860249999999996
202,15.0,0.26833333333333265,3.5469999999999993,30.537559860713937,53.20499999999999,3.0,3.375,2.900804166666666
203,15.0,0.269166666666666,3.547999999999999,30.5553495317157,53.219999999999985,3.0,3.375,2.9155874999999996
